Function,Package,Lesson_Introduced,Lesson_Topic,R_Documentation,Additional_Help,Appears_In_Lessons,Num_Lessons
library,base,3,Download + Intro to R & RStudio,https://rdrr.io/r/base/library.html,,"3, 7, 9, 11, 15",5
pacman::p_load,pacman,4,Basics,https://rdrr.io/cran/pacman/man/p_load.html,,"4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35",31
sin,base,4,Basics,https://rdrr.io/r/base/Trig.html,,"4, 8",2
sqrt,base,4,Basics,https://rdrr.io/r/base/MathFun.html,,"4, 18",2
theme_grey,ggplot2,6,Quarto & .qmd's,https://ggplot2.tidyverse.org/reference/ggtheme.html,,"6, 24, 30, 31, 32, 33",6
theme_set,ggplot2,6,Quarto & .qmd's,https://ggplot2.tidyverse.org/reference/theme_get.html,,"6, 24, 30, 31, 32, 33",6
all.equal,base,9,Common errors,https://rdrr.io/r/base/all.equal.html,,9,1
c,base,9,Common errors,https://rdrr.io/r/base/c.html,,"9, 13, 15, 18, 23, 25",6
clean_names,janitor,9,Common errors,https://sfirke.github.io/janitor/reference/clean_names.html,,"9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35",21
data.frame,base,9,Common errors,https://rdrr.io/r/base/data.frame.html,,9,1
here,here,9,Common errors,https://here.r-lib.org/reference/here.html,https://here.r-lib.org/articles/here.html,"9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35",26
install.packages,utils,9,Common errors,https://rdrr.io/r/utils/install.packages.html,,"9, 11",2
log,base,9,Common errors,https://rdrr.io/r/base/Log.html,,"9, 18",2
mean,base,9,Common errors,https://rdrr.io/r/base/mean.html,,"9, 13, 15, 18, 25, 29, 33",7
names,base,9,Common errors,https://rdrr.io/r/base/names.html,,"9, 17, 22, 23",4
getwd,base,12,R projects & working directories,https://rdrr.io/r/base/getwd.html,,12,1
read_rds,readr,12,R projects & working directories,https://readr.tidyverse.org/reference/read_rds.html,,"12, 14, 16, 17",4
setwd,base,12,R projects & working directories,https://rdrr.io/r/base/getwd.html,,12,1
sd,stats,13,Functions,https://rdrr.io/r/stats/sd.html,,"13, 18, 29",3
seq,base,13,Functions,https://rdrr.io/r/base/seq.html,,"13, 18",2
